@relation 'PC4_fix-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@attribute 4 {A,C,D}
@attribute 36 {A,D,C,B}
@attribute 10 {A,C,D}
@attribute 6 {A,C,D}
@attribute 28 {A,C,D}
@attribute 27 {A,C,D}
@attribute 9 {A,C,D}
@attribute 5 {A,C,D}
@attribute 1 {A,B,C,D}
@attribute 37 {B,A,C,D}
@attribute 8 {A,B,C,D}
@attribute 30 {A,B,C,D}
@attribute 25 {B,C,A,D}
@attribute 22 {B,C,A,D}
@attribute 21 {B,C,A,D}
@attribute 35 {B,A,C,D}
@attribute 16 {B,C,A,D}
@attribute 20 {B,C,A,D}
@attribute 24 {B,C,A,D}
@attribute 18 {C,B,A,D}
@attribute 31 {B,A,C,D}
@attribute 32 {B,C,A,D}
@attribute 34 {B,C,A,D}
@attribute 23 {C,B,D,A}
@attribute 33 {B,C,A,D}
@attribute 12 {D,B,A,C}
@attribute 7 {A,C,D}
@attribute 26 {D,B,C,A}
@attribute 19 {B,C,D,A}
@attribute 11 {A,C,D}
@attribute 2 {A,C,D}
@attribute 17 {A,B,C,D}
@attribute 13 {A,B,C,D}
@attribute 29 {A,B,C,D}
@attribute 14 {A,B,D}
@attribute 3 {A,B,C,D}
@attribute 15 {A,D}
@attribute class {FALSE,TRUE}

@data
A,A,A,A,A,A,A,A,A,B,A,A,B,B,B,B,B,B,B,C,B,B,B,C,B,D,A,D,B,A,A,A,A,A,A,A,A,FALSE
A,A,A,A,A,A,A,A,A,B,A,B,B,B,B,B,B,B,B,B,A,B,C,C,B,D,A,D,B,A,A,B,A,A,A,A,A,FALSE
A,A,A,A,A,A,A,A,A,B,A,A,B,B,B,B,B,B,B,C,B,B,B,C,C,D,A,D,B,A,A,B,A,A,A,A,A,FALSE
A,A,A,A,A,A,A,A,A,B,A,A,B,B,B,B,B,C,C,A,B,C,B,B,B,D,A,D,C,A,A,C,A,A,A,A,A,FALSE
A,A,A,A,A,A,A,A,A,B,A,A,B,B,B,B,B,B,B,B,A,B,B,B,B,D,A,D,C,A,A,C,A,A,A,A,A,FALSE
A,A,A,A,A,A,A,A,A,B,A,A,B,B,B,B,B,B,B,C,B,B,B,C,B,D,A,D,B,A,A,C,A,A,A,A,A,FALSE
A,A,A,A,A,A,A,A,A,B,A,A,B,B,B,B,B,B,B,C,B,C,B,C,C,D,A,D,B,A,A,C,A,A,A,A,A,FALSE
A,A,A,A,A,A,A,A,A,B,A,B,B,B,B,B,B,B,B,C,A,B,B,C,B,D,A,D,B,A,A,C,A,A,A,A,A,FALSE
A,A,A,A,A,A,A,A,A,B,A,A,B,B,B,B,B,B,B,C,B,B,B,B,B,D,A,D,C,A,A,C,A,A,A,A,A,FALSE
A,A,A,A,A,A,A,A,A,B,A,A,B,B,B,B,B,C,C,C,C,C,B,B,C,D,A,D,C,A,A,C,A,A,A,A,A,FALSE
A,A,A,A,A,A,A,A,A,B,A,A,C,C,C,B,B,C,C,C,C,C,B,B,B,D,A,D,D,A,A,C,A,A,A,A,A,FALSE
A,A,A,A,A,A,A,A,A,B,A,A,C,C,C,B,C,C,C,B,B,C,B,B,B,D,A,D,D,A,A,C,A,A,A,A,A,FALSE
A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,A,A,B,B,C,B,D,A,D,B,A,A,A,A,A,A,A,A,FALSE
A,A,A,A,A,A,A,A,A,B,B,B,A,A,B,A,B,A,A,B,A,A,B,C,A,D,A,D,B,A,A,A,A,A,A,A,A,FALSE
A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,A,B,B,B,B,A,B,B,C,B,D,A,D,B,A,A,A,A,A,A,A,A,FALSE
A,A,A,A,A,A,A,A,A,B,B,C,A,A,A,A,B,A,A,A,A,A,A,D,B,D,A,D,A,A,A,B,A,A,A,A,A,FALSE
A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,A,B,B,B,B,A,B,B,C,B,D,A,D,B,A,A,B,A,A,A,A,A,FALSE
A,A,A,A,A,A,A,A,A,B,B,C,B,B,B,A,B,B,B,B,A,B,B,C,B,D,A,D,B,A,A,B,A,A,A,A,A,FALSE
A,A,A,A,A,A,A,A,A,B,B,C,B,B,B,A,B,B,B,C,A,B,B,C,B,D,A,D,B,A,A,C,A,A,A,A,A,FALSE
A,A,A,A,A,A,A,A,A,B,C,C,A,A,B,A,B,A,A,B,A,A,B,C,B,D,A,D,B,A,A,A,A,A,A,A,A,FALSE
A,A,A,A,A,A,A,A,A,B,C,C,B,B,B,A,B,B,B,B,A,A,B,C,B,D,A,D,B,A,A,A,A,A,A,A,A,FALSE
A,A,A,A,A,A,A,A,A,B,C,C,B,B,B,A,B,B,B,B,A,B,B,C,B,D,A,D,B,A,A,A,A,A,A,A,A,FALSE
A,A,A,A,A,A,A,A,A,B,C,C,B,B,B,A,B,B,B,C,A,B,B,C,B,D,A,D,B,A,A,A,A,A,A,A,A,FALSE
A,A,A,A,A,A,A,A,A,A,D,D,A,A,A,A,A,A,A,A,A,A,A,A,A,D,A,D,A,A,A,A,A,A,A,A,A,FALSE
A,A,A,A,A,A,A,A,A,A,D,D,A,A,A,A,A,A,A,A,A,A,B,C,A,D,A,D,B,A,A,A,A,A,A,A,A,FALSE
A,A,A,A,A,A,A,A,A,A,D,D,A,A,B,A,A,A,A,A,A,A,B,C,A,D,A,D,B,A,A,A,A,A,A,A,A,FALSE
A,A,A,A,A,A,A,A,A,A,D,C,A,A,A,A,A,A,A,A,A,A,A,A,A,D,A,D,A,A,A,B,A,A,A,A,A,FALSE
A,A,A,A,A,A,A,A,A,A,D,A,A,A,A,C,A,A,A,A,A,A,A,A,A,D,A,D,A,A,A,C,A,A,A,A,A,FALSE
A,A,A,A,A,A,A,A,A,A,D,C,A,A,A,A,B,A,A,A,A,A,A,A,A,D,A,D,A,A,A,A,A,A,A,A,A,FALSE
A,A,A,A,A,A,A,A,A,A,D,C,A,A,A,A,B,A,A,A,A,A,A,D,B,D,A,D,A,A,A,A,A,A,A,A,A,FALSE
A,A,A,A,A,A,A,A,A,A,D,D,A,A,A,A,B,A,A,A,A,A,A,D,A,D,A,D,A,A,A,A,A,A,A,A,A,FALSE
