@relation 'PC4_fix-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -W -M -1 -D 1 -K 10 -A 2-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@attribute 4 {A,C,D}
@attribute 36 {A,D,C,B}
@attribute 8 {A,B,C,D}
@attribute 30 {A,B,C,D}
@attribute 1 {A,B,C,D}
@attribute 27 {A,C,D}
@attribute 10 {A,C,D}
@attribute 9 {A,C,D}
@attribute 6 {A,C,D}
@attribute 28 {A,C,D}
@attribute 5 {A,C,D}
@attribute 35 {B,A,C,D}
@attribute 37 {B,A,C,D}
@attribute 11 {A,C,D}
@attribute 19 {B,C,D,A}
@attribute 23 {C,B,D,A}
@attribute 20 {B,C,A,D}
@attribute 24 {B,C,A,D}
@attribute 32 {B,C,A,D}
@attribute 33 {B,C,A,D}
@attribute 18 {C,B,A,D}
@attribute 34 {B,C,A,D}
@attribute 29 {A,B,C,D}
@attribute 22 {B,C,A,D}
@attribute 25 {B,C,A,D}
@attribute 14 {A,B,D}
@attribute 17 {A,B,C,D}
@attribute 7 {A,C,D}
@attribute 2 {A,C,D}
@attribute 13 {A,B,C,D}
@attribute 26 {D,B,C,A}
@attribute 16 {B,C,A,D}
@attribute 21 {B,C,A,D}
@attribute 31 {B,A,C,D}
@attribute 3 {A,B,C,D}
@attribute 12 {D,B,A,C}
@attribute 15 {A,D}
@attribute class {FALSE,TRUE}

@data
A,A,A,A,A,A,A,A,A,A,A,B,B,A,B,C,B,B,B,B,C,B,A,B,B,A,A,A,A,A,D,B,B,B,A,D,A,FALSE
A,A,A,B,A,A,A,A,A,A,A,B,B,A,B,C,B,B,B,B,B,C,A,B,B,A,B,A,A,A,D,B,B,A,A,D,A,FALSE
A,A,A,A,A,A,A,A,A,A,A,B,B,A,B,C,B,B,B,C,C,B,A,B,B,A,B,A,A,A,D,B,B,B,A,D,A,FALSE
A,A,A,A,A,A,A,A,A,A,A,B,B,A,C,B,C,C,C,B,A,B,A,B,B,A,C,A,A,A,D,B,B,B,A,D,A,FALSE
A,A,A,A,A,A,A,A,A,A,A,B,B,A,C,B,B,B,B,B,B,B,A,B,B,A,C,A,A,A,D,B,B,A,A,D,A,FALSE
A,A,A,A,A,A,A,A,A,A,A,B,B,A,B,C,B,B,B,B,C,B,A,B,B,A,C,A,A,A,D,B,B,B,A,D,A,FALSE
A,A,A,A,A,A,A,A,A,A,A,B,B,A,B,C,B,B,C,C,C,B,A,B,B,A,C,A,A,A,D,B,B,B,A,D,A,FALSE
A,A,A,B,A,A,A,A,A,A,A,B,B,A,B,C,B,B,B,B,C,B,A,B,B,A,C,A,A,A,D,B,B,A,A,D,A,FALSE
A,A,A,A,A,A,A,A,A,A,A,B,B,A,C,B,B,B,B,B,C,B,A,B,B,A,C,A,A,A,D,B,B,B,A,D,A,FALSE
A,A,A,A,A,A,A,A,A,A,A,B,B,A,C,B,C,C,C,C,C,B,A,B,B,A,C,A,A,A,D,B,B,C,A,D,A,FALSE
